,time,temp,weather,wind,humidity,barometer,visibility,date
48,00:20,-1 °C,Ice fog.,13 km/h,93%,1026 mbar,0 km,2017-01-01
49,00:50,-1 °C,Ice fog.,11 km/h,93%,1026 mbar,1 km,2017-01-01
50,01:20,-1 °C,Low clouds.,9 km/h,93%,1026 mbar,1 km,2017-01-01
51,01:50,-2 °C,Low clouds.,13 km/h,100%,1025 mbar,2 km,2017-01-01
52,02:20,-2 °C,Low clouds.,15 km/h,100%,1025 mbar,1 km,2017-01-01
53,02:50,-2 °C,Ice fog.,11 km/h,100%,1024 mbar,2 km,2017-01-01
54,03:20,-2 °C,Ice fog.,15 km/h,93%,1024 mbar,2 km,2017-01-01
55,03:50,-2 °C,Ice fog.,11 km/h,93%,1024 mbar,2 km,2017-01-01
56,04:20,-2 °C,Ice fog.,13 km/h,93%,1023 mbar,3 km,2017-01-01
57,04:50,-2 °C,Ice fog.,15 km/h,100%,1023 mbar,2 km,2017-01-01
58,05:20,-2 °C,Ice fog.,13 km/h,100%,1022 mbar,2 km,2017-01-01
59,05:50,-2 °C,Ice fog.,13 km/h,93%,1022 mbar,2 km,2017-01-01
60,06:20,-2 °C,Ice fog.,11 km/h,100%,1022 mbar,3 km,2017-01-01
61,06:50,-2 °C,Ice fog.,15 km/h,100%,1021 mbar,2 km,2017-01-01
62,07:20,-1 °C,Ice fog.,13 km/h,93%,1021 mbar,2 km,2017-01-01
63,07:50,-1 °C,Ice fog.,13 km/h,93%,1020 mbar,1 km,2017-01-01
64,08:20,-1 °C,Ice fog.,15 km/h,93%,1020 mbar,1 km,2017-01-01
65,08:50,-1 °C,Ice fog.,15 km/h,93%,1020 mbar,2 km,2017-01-01
66,09:20,-2 °C,Ice fog.,15 km/h,93%,1020 mbar,3 km,2017-01-01
67,09:50,-2 °C,Ice fog.,15 km/h,100%,1020 mbar,2 km,2017-01-01
68,10:20,-2 °C,Ice fog.,17 km/h,93%,1020 mbar,2 km,2017-01-01
69,10:50,-3 °C,Ice fog.,19 km/h,93%,1020 mbar,4 km,2017-01-01
70,11:20,-3 °C,Broken clouds.,15 km/h,86%,1020 mbar,6 km,2017-01-01
71,11:50,-3 °C,Broken clouds.,19 km/h,86%,1020 mbar,6 km,2017-01-01
72,12:20,-3 °C,Broken clouds.,17 km/h,86%,1019 mbar,6 km,2017-01-01
73,12:50,-3 °C,Ice fog.,15 km/h,93%,1019 mbar,5 km,2017-01-01
74,13:20,-2 °C,Ice fog.,15 km/h,86%,1019 mbar,5 km,2017-01-01
75,13:50,-2 °C,Ice fog.,17 km/h,93%,1018 mbar,4 km,2017-01-01
76,14:20,-2 °C,Ice fog.,15 km/h,93%,1018 mbar,4 km,2017-01-01
77,14:50,-1 °C,Ice fog.,15 km/h,86%,1018 mbar,3 km,2017-01-01
78,15:20,-1 °C,Ice fog.,17 km/h,86%,1018 mbar,4 km,2017-01-01
79,15:50,-1 °C,Ice fog.,17 km/h,93%,1018 mbar,5 km,2017-01-01
80,16:20,-1 °C,Ice fog.,17 km/h,93%,1018 mbar,5 km,2017-01-01
81,16:50,-1 °C,Light freezing rain. Partly cloudy.,11 km/h,93%,1018 mbar,5 km,2017-01-01
82,17:20,-1 °C,Light freezing rain. Partly cloudy.,13 km/h,93%,1018 mbar,4 km,2017-01-01
83,17:50,0 °C,Light freezing rain. Partly cloudy.,17 km/h,87%,1018 mbar,4 km,2017-01-01
84,18:20,0 °C,Light freezing rain. Partly cloudy.,13 km/h,87%,1018 mbar,4 km,2017-01-01
85,18:50,0 °C,Ice fog.,13 km/h,87%,1018 mbar,5 km,2017-01-01
86,19:20,0 °C,Light freezing rain. Partly cloudy.,13 km/h,93%,1018 mbar,4 km,2017-01-01
87,19:50,0 °C,Ice fog.,15 km/h,93%,1018 mbar,5 km,2017-01-01
88,20:20,0 °C,Partly cloudy.,15 km/h,93%,1018 mbar,3 km,2017-01-01
89,20:50,0 °C,Partly cloudy.,17 km/h,93%,1018 mbar,2 km,2017-01-01
90,21:20,0 °C,Partly cloudy.,15 km/h,93%,1018 mbar,2 km,2017-01-01
91,21:50,0 °C,Partly cloudy.,11 km/h,93%,1019 mbar,2 km,2017-01-01
92,22:20,0 °C,Light freezing rain. Low clouds.,7 km/h,100%,1019 mbar,2 km,2017-01-01
93,22:50,0 °C,Light freezing rain. Ice fog.,9 km/h,93%,1020 mbar,3 km,2017-01-01
94,23:20,0 °C,Light freezing rain. Ice fog.,9 km/h,93%,1020 mbar,3 km,2017-01-01
95,23:50,0 °C,Ice fog.,9 km/h,100%,1020 mbar,3 km,2017-01-01
96,00:20,-1 °C,Ice fog.,13 km/h,93%,1026 mbar,0 km,2017-01-02
97,00:50,-1 °C,Ice fog.,11 km/h,93%,1026 mbar,1 km,2017-01-02
98,01:20,-1 °C,Low clouds.,9 km/h,93%,1026 mbar,1 km,2017-01-02
99,01:50,-2 °C,Low clouds.,13 km/h,100%,1025 mbar,2 km,2017-01-02
100,02:20,-2 °C,Low clouds.,15 km/h,100%,1025 mbar,1 km,2017-01-02
101,02:50,-2 °C,Ice fog.,11 km/h,100%,1024 mbar,2 km,2017-01-02
102,03:20,-2 °C,Ice fog.,15 km/h,93%,1024 mbar,2 km,2017-01-02
103,03:50,-2 °C,Ice fog.,11 km/h,93%,1024 mbar,2 km,2017-01-02
104,04:20,-2 °C,Ice fog.,13 km/h,93%,1023 mbar,3 km,2017-01-02
105,04:50,-2 °C,Ice fog.,15 km/h,100%,1023 mbar,2 km,2017-01-02
106,05:20,-2 °C,Ice fog.,13 km/h,100%,1022 mbar,2 km,2017-01-02
107,05:50,-2 °C,Ice fog.,13 km/h,93%,1022 mbar,2 km,2017-01-02
108,06:20,-2 °C,Ice fog.,11 km/h,100%,1022 mbar,3 km,2017-01-02
109,06:50,-2 °C,Ice fog.,15 km/h,100%,1021 mbar,2 km,2017-01-02
110,07:20,-1 °C,Ice fog.,13 km/h,93%,1021 mbar,2 km,2017-01-02
111,07:50,-1 °C,Ice fog.,13 km/h,93%,1020 mbar,1 km,2017-01-02
112,08:20,-1 °C,Ice fog.,15 km/h,93%,1020 mbar,1 km,2017-01-02
113,08:50,-1 °C,Ice fog.,15 km/h,93%,1020 mbar,2 km,2017-01-02
114,09:20,-2 °C,Ice fog.,15 km/h,93%,1020 mbar,3 km,2017-01-02
115,09:50,-2 °C,Ice fog.,15 km/h,100%,1020 mbar,2 km,2017-01-02
116,10:20,-2 °C,Ice fog.,17 km/h,93%,1020 mbar,2 km,2017-01-02
117,10:50,-3 °C,Ice fog.,19 km/h,93%,1020 mbar,4 km,2017-01-02
118,11:20,-3 °C,Broken clouds.,15 km/h,86%,1020 mbar,6 km,2017-01-02
119,11:50,-3 °C,Broken clouds.,19 km/h,86%,1020 mbar,6 km,2017-01-02
120,12:20,-3 °C,Broken clouds.,17 km/h,86%,1019 mbar,6 km,2017-01-02
121,12:50,-3 °C,Ice fog.,15 km/h,93%,1019 mbar,5 km,2017-01-02
122,13:20,-2 °C,Ice fog.,15 km/h,86%,1019 mbar,5 km,2017-01-02
123,13:50,-2 °C,Ice fog.,17 km/h,93%,1018 mbar,4 km,2017-01-02
124,14:20,-2 °C,Ice fog.,15 km/h,93%,1018 mbar,4 km,2017-01-02
125,14:50,-1 °C,Ice fog.,15 km/h,86%,1018 mbar,3 km,2017-01-02
126,15:20,-1 °C,Ice fog.,17 km/h,86%,1018 mbar,4 km,2017-01-02
127,15:50,-1 °C,Ice fog.,17 km/h,93%,1018 mbar,5 km,2017-01-02
128,16:20,-1 °C,Ice fog.,17 km/h,93%,1018 mbar,5 km,2017-01-02
129,16:50,-1 °C,Light freezing rain. Partly cloudy.,11 km/h,93%,1018 mbar,5 km,2017-01-02
130,17:20,-1 °C,Light freezing rain. Partly cloudy.,13 km/h,93%,1018 mbar,4 km,2017-01-02
131,17:50,0 °C,Light freezing rain. Partly cloudy.,17 km/h,87%,1018 mbar,4 km,2017-01-02
132,18:20,0 °C,Light freezing rain. Partly cloudy.,13 km/h,87%,1018 mbar,4 km,2017-01-02
133,18:50,0 °C,Ice fog.,13 km/h,87%,1018 mbar,5 km,2017-01-02
134,19:20,0 °C,Light freezing rain. Partly cloudy.,13 km/h,93%,1018 mbar,4 km,2017-01-02
135,19:50,0 °C,Ice fog.,15 km/h,93%,1018 mbar,5 km,2017-01-02
136,20:20,0 °C,Partly cloudy.,15 km/h,93%,1018 mbar,3 km,2017-01-02
