date,temp,weather,wind,humidity,day_power
2012-01-01,12.333333333333334,Cloudy,21.333333333333332,89.33333333333333,0.8000000000000114
2012-01-02,7.787234042553192,Scattered clouds,17.21276595744681,81.42553191489361,2.9000000000000057
2012-01-03,8.208333333333334,Fog,32.354166666666664,78.22916666666667,0.799999999999983
2012-01-04,7.354166666666667,Scattered clouds,26.375,71.04166666666667,2.700000000000017
2012-01-05,8.292682926829269,Scattered clouds,39.170731707317074,77.8048780487805,1.5999999999999943
2012-01-06,6.291666666666667,Partly sunny,26.0,76.83333333333333,1.0
2012-01-07,7.958333333333333,Passing clouds,25.3125,77.47916666666667,4.099999999999994
2012-01-08,7.456521739130435,Passing clouds,17.456521739130434,77.95652173913044,5.200000000000017
2012-01-09,8.434782608695652,Partly sunny,14.065217391304348,85.54347826086956,1.0
2012-01-10,9.148936170212766,Partly sunny,10.106382978723405,84.44680851063829,1.5
2012-01-11,9.204545454545455,Partly sunny,14.113636363636363,82.77272727272727,1.5999999999999943
2012-01-12,8.479166666666666,Scattered clouds,20.979166666666668,81.1875,1.4000000000000057
2012-01-13,5.416666666666667,Scattered clouds,12.395833333333334,76.16666666666667,3.3999999999999773
2012-01-14,4.3478260869565215,Scattered clouds,6.543478260869565,74.45652173913044,3.400000000000034
2012-01-15,0.3191489361702128,Passing clouds,5.808510638297872,85.23404255319149,5.399999999999977
2012-01-16,-0.0625,Passing clouds,7.145833333333333,78.5,5.899999999999977
2012-01-17,0.20833333333333334,Sunny,5.291666666666667,72.125,5.400000000000034
2012-01-18,2.4468085106382977,Partly sunny,16.4468085106383,82.44680851063829,1.6999999999999886
2012-01-19,8.23404255319149,Scattered clouds,20.23404255319149,,0.8000000000000114
2012-01-20,5.723404255319149,Scattered clouds,20.06382978723404,77.23404255319149,0.8000000000000114
2012-01-21,8.425531914893616,Scattered clouds,24.78723404255319,81.36170212765957,0.7999999999999545
2012-01-22,7.645833333333333,Passing clouds,26.208333333333332,71.9375,3.900000000000034
2012-01-23,5.979166666666667,Scattered clouds,16.729166666666668,80.625,3.3000000000000114
2012-01-24,3.7708333333333335,Scattered clouds,9.708333333333334,86.25,2.099999999999966
2012-01-25,5.020833333333333,Partly sunny,11.791666666666666,88.5,1.400000000000034
2012-01-26,6.770833333333333,Cloudy,13.208333333333334,87.79166666666667,1.099999999999966
2012-01-27,5.446808510638298,Passing clouds,12.829787234042554,79.2127659574468,6.300000000000011
2012-01-28,3.4166666666666665,Partly sunny,8.666666666666666,87.33333333333333,3.3000000000000114
2012-01-29,0.13043478260869565,Partly sunny,11.434782608695652,78.93478260869566,1.3000000000000114
2012-01-30,-1.0416666666666667,Fog,6.8125,84.1875,0.19999999999998863
2012-02-01,-4.708333333333333,Sunny,20.895833333333332,56.604166666666664,8.400000000000034
2012-02-02,-5.979166666666667,Sunny,18.354166666666668,48.208333333333336,8.5
2012-02-03,-7.5,Fog,9.395833333333334,70.66666666666667,2.3000000000000114
2012-02-04,-11.4375,Fog,5.166666666666667,89.52083333333333,7.599999999999966
2012-02-05,-7.595744680851064,Sunny,9.72340425531915,69.08510638297872,5.600000000000023
2012-02-06,-5.51063829787234,Passing clouds,5.659574468085107,64.53191489361703,8.599999999999966
2012-02-07,-8.166666666666666,Passing clouds,14.333333333333334,65.69047619047619,7.300000000000011
2012-02-08,-3.6041666666666665,Passing clouds,,71.625,7.900000000000034
2012-02-09,-4.212765957446808,Scattered clouds,8.829787234042554,82.42553191489361,3.6999999999999886
2012-02-10,-5.041666666666667,Passing clouds,9.0,74.1875,9.599999999999966
2012-02-11,-6.875,Sunny,9.729166666666666,69.0,6.400000000000034
2012-02-12,-4.354166666666667,Partly sunny,5.625,78.83333333333333,2.599999999999966
2012-02-13,1.9166666666666667,Scattered clouds,10.0,91.04166666666667,3.0
2012-02-14,4.645833333333333,Scattered clouds,17.520833333333332,85.72916666666667,4.7000000000000455
2012-02-15,6.020833333333333,Fog,29.270833333333332,86.22916666666667,2.3999999999999773
2012-02-16,6.375,Scattered clouds,14.0625,85.39583333333333,3.6000000000000227
2012-02-19,5.26595744680851,Partly sunny,16.48936170212766,81.82978723404256,7.300000000000011
2012-02-20,2.7083333333333335,Passing clouds,11.645833333333334,67.72916666666667,10.699999999999989
2012-02-21,5.020833333333333,Partly sunny,17.416666666666668,67.08333333333333,6.399999999999977
2012-02-22,6.1875,Passing clouds,19.666666666666668,68.79166666666667,6.199999999999989
2012-02-23,8.895833333333334,Fog,16.916666666666668,88.66666666666667,2.400000000000034
2012-02-24,10.042553191489361,Fog,16.06382978723404,87.93617021276596,2.3000000000000114
2012-02-25,7.0625,Scattered clouds,13.25,78.125,9.099999999999966
2012-02-26,5.833333333333333,Scattered clouds,10.645833333333334,80.77083333333333,2.6000000000000227
2012-02-27,6.0,Fog,11.808510638297872,84.17021276595744,3.8999999999999773
2012-02-28,9.0625,Fog,12.083333333333334,89.875,1.5
2012-02-29,9.25531914893617,Fog,7.446808510638298,87.8936170212766,2.5
2012-03-01,7.75,Fog,5.791666666666667,91.125,2.3000000000000114
2012-03-02,8.127659574468085,Fog,9.617021276595745,89.95744680851064,1.8000000000000114
2012-03-03,10.291666666666666,Partly sunny,11.354166666666666,78.54166666666667,6.099999999999966
2012-03-04,8.583333333333334,Scattered clouds,11.333333333333334,86.375,4.100000000000023
2012-03-05,3.375,Cloudy,14.895833333333334,89.375,1.6000000000000227
2012-03-06,4.791666666666667,Scattered clouds,8.6875,79.97916666666667,6.399999999999977
